m1_surv,m2_surv
1,1
1,0.99416
1,0.98874
1,0.98652
0.99956,0.9854
0.99906,0.98204
0.99906,0.98204
0.99906,0.98091
0.99906,0.98091
0.99906,0.97978
0.99906,0.97751999999999994
0.99861,0.97751999999999994
0.99817,0.97638
0.99749,0.97638
0.99695,0.97525
0.99632,0.97525
0.99632,0.97525
0.99632,0.97525
0.99632,0.97525
0.99632,0.97525
0.99521,0.97525
0.99521,0.97411
0.99521,0.97411
0.99398,0.97411
0.99398,0.97411
0.99398,0.97297
0.99398,0.97297
0.99342,0.97183
0.99342,0.97183
0.99342,0.97183
0.99342,0.97067
0.99342,0.97067
0.99342,0.97067
0.99342,0.97067
0.99278,0.97067
0.99278,0.97067
0.99278,0.97067
0.99278,0.97067
0.99278,0.97067
0.99213,0.97067
0.99213,0.96834
0.99122,0.96834
0.99122,0.96834
0.99034,0.96717
0.98956,0.96717
0.98956,0.96717
0.98956,0.96717
0.98956,0.96717
0.98956,0.96717
0.98781,0.96717
0.98703,0.96717
0.98703,0.96717
0.98703,0.96717
0.9862,0.96717
0.9862,0.96717
0.9862,0.96717
0.98337,0.96717
0.98243,0.96717
0.98243,0.96717
0.98243,0.96717
0.98243,0.96598
0.98243,0.96598
0.98142,0.96598
0.98142,0.96598
0.98043,0.96598
0.98043,0.96598
0.98043,0.96598
0.98043,0.96598
0.98043,0.96598
0.97945,0.96598
0.97945,0.96598
0.97945,0.9648
0.97945,0.9648
0.9774,0.9648
0.9774,0.9648
0.9774,0.9648
0.9774,0.9648
0.9774,0.9648
0.9774,0.96361
0.9774,0.96361
0.97527,0.96361
0.973,0.96361
0.972,0.96361
0.96956,0.96361
0.96956,0.96361
0.96956,0.96361
0.96835,0.96361
0.96746,0.9624
0.96746,0.96119
0.96746,0.96119
0.96631,0.96119
0.96523,0.96119
0.96412,0.96119
0.96412,0.96119
0.96412,0.96119
0.96412,0.96119
0.96412,0.95996
0.96412,0.95996
0.96296,0.95996
0.96296,0.95996
0.96185,0.95996
0.96185,0.95996
0.96097,0.95996
0.96097,0.95996
0.95903,0.95996
0.95784,0.95996
0.95784,0.95996
0.95784,0.95996
0.95784,0.95996
0.95784,0.95996
0.95784,0.95873
0.95784,0.95873
0.95784,0.95873
0.95784,0.95873
0.95784,0.95873
0.95621,0.95873
0.95621,0.95873
0.95621,0.95873
0.95621,0.95873
0.95507,0.95873
0.95507,0.95873
0.95381,0.95873
0.95381,0.95873
0.95258,0.95873
0.95059,0.9575
0.95059,0.9575
0.94784,0.9575
0.94784,0.9575
0.94474,0.95626
0.94474,0.95626
0.94474,0.95626
0.94474,0.95626
0.94474,0.95626
0.94474,0.95626
0.94474,0.95626
0.94474,0.95626
0.94474,0.95626
0.94474,0.95626
0.94474,0.95626
0.9434,0.95626
0.9434,0.95626
0.9434,0.95626
0.94234,0.95626
0.94234,0.95626
0.94234,0.95626
0.94091,0.95626
0.94091,0.95626
0.93877,0.95626
0.93877,0.95626
0.93877,0.95626
0.93877,0.95626
0.93877,0.95626
0.93877,0.95501
0.93877,0.95501
0.9366,0.95501
0.9366,0.95501
0.93485,0.95501
0.93485,0.95501
0.93305,0.95501
0.93305,0.95501
0.93128,0.95501
0.93128,0.95501
0.93128,0.95501
0.93128,0.95501
0.93128,0.95376
0.93128,0.95376
0.93128,0.95376
0.93128,0.95376
0.93128,0.95376
0.93128,0.95376
0.93128,0.95376
0.93128,0.95376
0.93128,0.95376
0.93128,0.95376
0.93128,0.95376
0.93128,0.95376
0.93128,0.95248
0.93128,0.95248
0.93128,0.95248
0.93128,0.9512
0.93128,0.9512
0.93128,0.9512
0.93128,0.9512
0.93128,0.9512
0.92977,0.94992
0.92757,0.94992
0.92608,0.94992
0.92323,0.94992
0.91961,0.94992
0.91961,0.94992
0.91961,0.94992
0.91961,0.94992
0.91961,0.94992
0.91961,0.94992
0.91961,0.94992
0.91961,0.94992
0.91669,0.94992
0.91485,0.94992
0.91485,0.94992
0.9128,0.94863
0.9128,0.94863
0.9128,0.94863
0.9128,0.94863
0.9128,0.94863
0.9128,0.94863
0.91,0.94863
0.90748,0.94863
0.90748,0.94863
0.90748,0.94863
0.90748,0.94863
0.90748,0.94863
0.90748,0.94863
0.90748,0.94863
0.90748,0.94863
0.90748,0.94863
0.90748,0.94863
0.90748,0.94863
0.90748,0.94863
0.90748,0.94863
0.90748,0.94863
0.90748,0.94863
0.90748,0.94863
0.90748,0.94863
0.90748,0.94863
0.90748,0.94863
0.90416,0.94863
0.90416,0.94863
0.90416,0.94863
0.90416,0.94863
0.90416,0.94863
0.90416,0.94863
0.90416,0.94863
0.90416,0.94863
0.90416,0.94863
0.90416,0.94863
0.90416,0.94863
0.90416,0.94863
0.90416,0.94863
0.90416,0.94863
0.90416,0.94863
0.89977,0.94863
0.89977,0.94863
0.89977,0.94863
0.89977,0.94733
0.89977,0.94733
0.89977,0.94733
0.89394,0.94733
0.89394,0.94733
0.89394,0.94733
0.89394,0.94733
0.89394,0.94733
0.89394,0.94733
0.88992,0.94733
0.88992,0.94733
0.88992,0.94733
0.88992,0.94733
0.88992,0.94733
0.88992,0.94733
0.88992,0.94733
0.88504,0.94603
0.88504,0.94603
0.88504,0.94603
0.88504,0.94472
0.88504,0.94472
0.88504,0.94472
0.88504,0.94472
0.88504,0.94472
0.88504,0.94472
0.88504,0.94472
0.88504,0.94472
0.88504,0.94472
0.88504,0.94472
0.88054,0.94472
0.88054,0.94472
0.88054,0.94341
0.88054,0.94341
0.88054,0.94341
0.88054,0.94341
0.87608,0.94209
0.87608,0.94078
0.87608,0.94078
0.87608,0.94078
0.87608,0.94078
0.87608,0.94078
0.87608,0.94078
0.87608,0.94078
0.87608,0.94078
0.87212,0.94078
0.87212,0.94078
0.87212,0.94078
0.87212,0.94078
0.87212,0.93943
0.87212,0.93943
0.87212,0.93943
0.86811,0.93943
0.86811,0.93943
0.86811,0.93943
0.86811,0.93943
0.86811,0.93943
0.86811,0.93805
0.86811,0.93805
0.86811,0.93805
0.86811,0.93805
0.86811,0.93805
0.86811,0.93805
0.86811,0.93805
0.86811,0.93805
0.86811,0.93805
0.86811,0.93805
0.8625,0.93805
0.8625,0.93805
0.8625,0.93805
0.8625,0.93805
0.8625,0.9366
0.8625,0.9366
0.8625,0.9366
0.85632,0.9366
0.85632,0.9366
0.85632,0.9366
0.85298,0.9366
0.85298,0.9366
0.85019,0.9366
0.85019,0.9366
0.85019,0.9366
0.85019,0.9366
0.85019,0.9366
0.85019,0.9366
0.84315,0.9366
0.84315,0.9366
0.84315,0.9366
0.84315,0.9366
0.83915,0.9366
0.83915,0.9366
0.83915,0.9366
0.83915,0.9366
0.83915,0.9366
0.83341,0.9366
0.83341,0.9366
0.83341,0.9366
0.83341,0.9366
0.83341,0.9366
0.83341,0.9366
0.83341,0.9366
0.83341,0.9366
0.83341,0.9351
0.83341,0.9351
0.83341,0.9351
0.83341,0.9351
0.83341,0.9351
0.83341,0.9351
0.83341,0.9351
0.83341,0.9351
0.83341,0.9351
0.83341,0.9351
0.83341,0.9351
0.83341,0.9351
0.83341,0.9351
0.83341,0.93358
0.83341,0.93358
0.83341,0.93204
0.83341,0.93204
0.83341,0.93204
0.83341,0.93049
0.83341,0.93049
0.83341,0.93049
0.83341,0.93049
0.82716,0.93049
0.82716,0.93049
0.82716,0.93049
0.82716,0.93049
0.82296,0.93049
0.82296,0.93049
0.82296,0.93049
0.82296,0.93049
0.82296,0.93049
0.82296,0.92893
0.82296,0.92893
0.82296,0.92893
0.82296,0.92736
0.82296,0.92736
0.82296,0.92736
0.82296,0.92736
0.81822,0.92736
0.8126,0.92736
0.8126,0.92736
0.8126,0.92736
0.8126,0.92736
0.8126,0.92736
0.8126,0.92736
0.8126,0.92576
0.8126,0.92576
0.8126,0.92576
0.8126,0.92576
0.8126,0.92576
0.8126,0.92576
0.8126,0.92576
0.8126,0.92576
0.8126,0.92576
0.8126,0.92576
0.8126,0.92576
0.80721,0.92576
0.80721,0.92576
0.80721,0.92576
0.80721,0.92576
0.80721,0.92576
0.80721,0.92576
0.80721,0.92576
0.80721,0.92576
0.80721,0.92576
0.80721,0.92576
0.80721,0.92576
0.80721,0.92576
0.80721,0.92576
0.80721,0.92576
0.80721,0.92576
0.80721,0.92576
0.80721,0.92576
0.80721,0.92576
0.80721,0.92413
0.80721,0.92413
0.80721,0.92413
0.80721,0.92413
0.80721,0.92413
0.80721,0.92413
0.80721,0.92413
0.80721,0.92413
0.80721,0.92413
0.80721,0.9225
0.80721,0.9225
0.80721,0.9225
0.80721,0.92086
0.80721,0.92086
0.80721,0.92086
0.80721,0.91921
0.80721,0.91921
0.80721,0.91921
0.80721,0.91921
0.80721,0.91921
0.80192,0.91921
0.80192,0.91921
0.79302,0.91921
0.78836,0.91921
0.77567,0.91921
0.77567,0.91921
0.77567,0.91921
0.7699,0.91921
0.7699,0.91921
0.7699,0.91921
0.7699,0.91921
0.7699,0.91921
0.7699,0.91921
0.7699,0.91921
0.7699,0.91921
0.7699,0.91921
0.7699,0.91921
0.76373,0.91921
0.76373,0.91921
0.76373,0.91921
0.76373,0.91921
0.76373,0.91921
0.76373,0.91921
0.76373,0.91921
0.76373,0.91921
0.76373,0.91921
0.76373,0.91921
0.76373,0.91921
0.76373,0.91921
0.76373,0.91921
0.76373,0.91921
0.76373,0.91921
0.76373,0.91921
0.76373,0.91921
0.76373,0.91921
0.76373,0.91921
0.76373,0.91921
0.76373,0.91921
0.76373,0.91921
0.76373,0.91921
0.76373,0.91921
0.76373,0.91921
0.76373,0.91921
0.76373,0.91921
0.76373,0.91921
0.76373,0.91921
0.76373,0.91921
0.76373,0.91921
0.76373,0.91921
0.76373,0.91921
0.76373,0.91921
0.76373,0.91921
0.76373,0.91921
0.76373,0.91921
0.76373,0.91921
0.76373,0.91921
0.76373,0.91921
0.76373,0.91921
0.76373,0.91921
0.76373,0.91921
0.76373,0.91921
0.76373,0.91921
0.76373,0.91921
0.76373,0.91921
0.76373,0.91921
0.76373,0.91921
0.76373,0.91921
0.76373,0.91921
0.76373,0.91921
0.76373,0.91921
0.76373,0.91921
0.76373,0.91921
0.76373,0.91921
0.76373,0.91921
0.76373,0.91921
0.76373,0.91921
0.76373,0.91921
0.76373,0.91921
0.76373,0.91921
0.76373,0.91921
0.76373,0.91921
0.76373,0.91921
0.76373,0.91921
0.76373,0.91921
0.76373,0.91921
0.76373,0.91921
0.76373,0.91921
0.76373,0.91921
0.76373,0.91921
0.76373,0.91921
0.76373,0.91921
0.76373,0.91921
0.76373,0.91921
0.76373,0.91921
0.76373,0.91921
0.76373,0.91921
0.76373,0.91921
0.76373,0.91921
0.76373,0.91921
0.76373,0.91921
0.76373,0.91921
0.76373,0.91921
0.76373,0.91921
0.76373,0.91921
0.76373,0.91921
0.76373,0.91921
0.76373,0.91921
0.76373,0.91921
0.76373,0.91921
0.75876,0.91921
0.75876,0.91921
0.75876,0.91921
0.75876,0.91921
0.75876,0.91921
0.75876,0.91921
0.75876,0.91921
0.75876,0.91921
0.75876,0.91921
0.75876,0.91921
0.75876,0.91921
0.75876,0.91921
0.75876,0.91921
0.75876,0.91921
0.75876,0.91921
0.75876,0.91921
0.75876,0.91921
0.75876,0.91921
0.75876,0.91921
0.75876,0.91921
0.75876,0.91921
0.75876,0.91921
0.75876,0.91921
0.75876,0.91921
0.75876,0.91921
0.75876,0.91921
0.75876,0.91921
0.75876,0.91921
0.75876,0.91921
0.75876,0.91921
0.75876,0.91921
0.75876,0.91921
0.75876,0.91921
0.75876,0.91921
0.75876,0.91921
0.73863,0.91921
0.73863,0.91921
0.73863,0.91921
0.73863,0.91921
0.73863,0.91921
0.73863,0.91921
0.73863,0.91921
0.73863,0.91745
0.73863,0.91745
0.73863,0.91745
0.73863,0.91745
0.73863,0.91745
0.73863,0.91745
0.73863,0.91745
0.73863,0.91745
0.73863,0.91745
0.73863,0.91745
0.73863,0.91745
0.73863,0.91745
0.73863,0.91745
0.73863,0.91745
0.73863,0.91745
0.73863,0.91745
0.73863,0.91745
0.73863,0.91745
0.73863,0.91745
0.73863,0.91745
0.73863,0.91745
0.73863,0.91745
0.73863,0.91745
0.73863,0.91745
0.73863,0.91745
0.73863,0.91745
0.73863,0.91745
0.73863,0.91745
0.73863,0.91745
0.73863,0.91745
0.73863,0.91745
0.73863,0.91745
0.73863,0.91745
0.73863,0.91745
0.73863,0.91745
0.73863,0.91745
0.73863,0.91745
0.73863,0.91745
0.73863,0.91745
0.73863,0.91745
0.73863,0.91745
0.73863,0.91745
0.73863,0.91745
0.73863,0.91745
0.73863,0.91745
0.73863,0.91745
0.73863,0.91745
0.73863,0.91745
0.73863,0.91745
0.73863,0.91745
0.73863,0.91745
0.73863,0.91745
0.73863,0.91745
0.72999,0.91745
0.72999,0.91745
0.72999,0.91745
0.72999,0.91745
0.72999,0.91745
0.72999,0.91745
0.72999,0.91745
0.72999,0.91745
0.72999,0.91745
0.71429,0.91745
0.71429,0.91745
0.71429,0.91745
0.71429,0.91745
0.71429,0.91745
0.71429,0.91745
0.71429,0.91745
0.71429,0.91745
0.71429,0.91745
0.71429,0.91745
0.71429,0.91745
0.71429,0.91745
0.71429,0.91745
0.71429,0.91745
0.71429,0.91745
0.66603,0.91745
0.66603,0.91745
0.66603,0.91745
0.66603,0.91745
0.66603,0.91745
0.66603,0.91745
0.66603,0.91745
0.66603,0.91745
0.66603,0.91745
0.66603,0.91745
0.66603,0.91745
0.66603,0.91745
0.66603,0.91745
0.66603,0.91745
0.66603,0.91745
0.66603,0.91745
0.66603,0.91745
0.66603,0.91745
0.66603,0.91745
0.66603,0.91745
0.66603,0.91745
0.66603,0.91534
0.66603,0.91534
0.66603,0.91534
0.66603,0.91534
0.66603,0.91534
0.66603,0.91534
0.66603,0.91319
0.66603,0.91319
0.66603,0.91319
0.66603,0.91319
0.66603,0.91319
0.66603,0.91319
0.66603,0.91319
0.66603,0.91319
0.66603,0.91319
0.65397,0.91319
0.65397,0.91319
0.65397,0.91319
0.65397,0.91319
0.65397,0.91319
0.65397,0.91319
0.65397,0.91319
0.65397,0.91319
0.65397,0.91319
0.65397,0.91319
0.65397,0.91319
0.65397,0.91319
0.65397,0.91319
0.65397,0.91319
0.65397,0.91319
0.65397,0.91319
0.65397,0.91319
0.65397,0.91319
0.65397,0.91319
0.65397,0.91319
0.65397,0.91319
0.65397,0.91319
0.65397,0.91319
0.65397,0.91319
0.65397,0.91319
0.65397,0.91319
0.65397,0.91319
0.65397,0.91319
0.65397,0.91319
0.65397,0.91319
0.65397,0.91319
0.65397,0.91319
0.65397,0.91319
0.65397,0.91319
0.65397,0.91319
0.65397,0.91319
0.65397,0.91319
0.65397,0.91319
0.65397,0.91319
0.65397,0.91319
0.65397,0.91319
0.63952,0.91319
0.63952,0.91319
0.63952,0.91319
0.63952,0.91319
0.63952,0.91319
0.63952,0.91319
0.63952,0.91319
0.63952,0.91319
0.63952,0.91319
0.63952,0.91074
0.63952,0.91074
0.63952,0.91074
0.63952,0.91074
0.63952,0.91074
0.63952,0.91074
0.63952,0.91074
0.63952,0.91074
0.63952,0.91074
0.63952,0.91074
0.63952,0.91074
0.63952,0.91074
0.63952,0.91074
0.63952,0.91074
0.63952,0.91074
0.63952,0.91074
0.63952,0.91074
0.63952,0.91074
0.63952,0.90823
0.63952,0.90823
0.63952,0.90823
0.63952,0.90823
0.63952,0.90823
0.63952,0.90823
0.63952,0.90823
0.63952,0.90823
0.63952,0.90823
0.63952,0.90823
0.63952,0.90823
0.63952,0.90823
0.63952,0.90823
0.63952,0.90823
0.63952,0.90823
0.63952,0.90823
0.63952,0.90823
0.63952,0.90823
0.63952,0.9057
0.63952,0.9057
0.63952,0.90316
0.63952,0.90316
0.63952,0.90316
0.63952,0.90316
0.63952,0.90316
0.63952,0.90061
0.63952,0.90061
0.63952,0.90061
0.63952,0.90061
0.63952,0.89799
0.63952,0.89799
0.63952,0.89799
0.63952,0.89799
0.63952,0.89799
0.63952,0.89799
0.63952,0.89799
0.63952,0.89799
0.63952,0.89799
0.63952,0.89799
0.63952,0.89799
0.63952,0.89799
0.63952,0.89799
0.63952,0.89799
0.63952,0.89799
0.63952,0.89799
0.63952,0.89799
0.63952,0.89799
0.63952,0.89799
0.63952,0.89799
0.63952,0.89799
0.63952,0.89799
0.63952,0.89799
0.63952,0.89799
0.63952,0.89799
0.63952,0.89799
0.63952,0.89799
0.63952,0.89799
0.63952,0.89799
0.63952,0.89799
0.63952,0.89799
0.63952,0.89799
0.63952,0.89799
0.63952,0.89799
0.63952,0.89799
0.63952,0.89799
0.63952,0.89799
0.63952,0.89799
0.63952,0.89799
0.63952,0.89799
0.63952,0.89799
0.63952,0.89799
0.63952,0.89799
0.63952,0.89799
0.63952,0.89799
0.63952,0.89799
0.63952,0.89799
0.63952,0.89799
0.63952,0.89799
0.63952,0.89799
0.63952,0.89799
0.63952,0.89799
0.63952,0.89799
0.63952,0.89799
0.63952,0.89799
0.63952,0.89799
0.63952,0.89799
0.63952,0.89799
0.63952,0.89799
0.63952,0.89799
0.63952,0.89799
0.63952,0.89799
0.63952,0.89799
0.63952,0.89799
0.63952,0.89799
0.63952,0.89799
0.63952,0.89799
0.63952,0.89799
0.63952,0.89799
0.63952,0.89799
0.63952,0.89799
0.63952,0.89799
0.63952,0.89799
0.63952,0.89799
0.63952,0.89534
0.63952,0.89534
0.63952,0.89534
0.63952,0.89534
0.63952,0.89268
0.63952,0.89268
0.63952,0.89268
0.63952,0.89268
0.63952,0.89268
0.63952,0.89268
0.63952,0.89268
0.63952,0.89268
0.63952,0.89268
0.63952,0.89268
0.63952,0.89268
0.63952,0.89268
0.63952,0.89268
0.63952,0.89268
0.63952,0.89268
0.63952,0.89268
0.63952,0.89268
0.63952,0.89268
0.63952,0.88997
0.63952,0.88997
0.63952,0.88997
0.63952,0.88997
0.63952,0.88997
0.63952,0.88997
0.63952,0.88997
0.63952,0.88997
0.63952,0.88997
0.63952,0.88997
0.63952,0.88997
0.63952,0.88997
0.63952,0.88997
0.63952,0.88997
0.63952,0.88997
0.63952,0.88997
0.63952,0.88997
0.63952,0.88997
0.63952,0.88997
0.63952,0.88997
0.63952,0.88997
